country,var,code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
AT,I_IT,U,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,I_CT,TOT,,,,,,,,,,,,,,,,,,,,,,,,,,2531.1,2638.5,2473.9,2881.5,2896.5,2684.3,2426.4,2040,1995.7,2209.1,2255.4,2283.6,2482,2936.5,2289.4,2393.6,2631.6,2759.8,2399.3,2468.2,2904.8
AT,I_CT,MARKT,,,,,,,,,,,,,,,,,,,,,,,,,,2190.9,2304.1,2068,2446.3,2434.2,2228.7,2019.2,1597.5,1512.4,1726.3,1703.7,1740.5,1869.9,2324.5,1788.8,1751.9,2027.8,2009.8,1801.7,1855,2254.9
AT,I_CT,A,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3
AT,I_CT,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0,0,0,0,0
AT,I_CT,C,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,4.9,4.7,4.9,3.6,3.4,4.4,3,2.7,3.2,3.1,4.3,4.9,170.9,180.8,86,119.2,159.5,226,196,243.1
AT,I_CT,10-12,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,3.1,2.7,0.7,0.5,0.9,0.9,0.9,1.1
AT,I_CT,13-15,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.1,0.2,0.1,0.1,0.1
AT,I_CT,16-18,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,0.7,0.7,0.6,0.5,0.7,0.4,0.4,0.4,0.4,0.6,0.6,2,2,3.1,6.6,9.8,13.5,14.8,19.1
AT,I_CT,19,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,3.7,0,0,0,0,0,0.1
AT,I_CT,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,27.2,30.4,20.2,34.9,42.1,88.9,59.9,75
AT,I_CT,22-23,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.6,0.6,0.6,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.5,1.7,1.7,4.7,5.9,8.6,10,10.2,12.8
AT,I_CT,24-25,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.7,1.6,1.6,1.2,1,1.3,1,0.9,1.1,1.1,1.6,2,4.6,4.8,7.9,9.6,12,22.7,24.4,31
AT,I_CT,26-27,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.5,0.4,0.5,0.4,0.5,0.7,0.3,0.2,0.2,0.2,0.3,0.3,80.7,87.4,22.9,32.5,42.3,41,46.5,57.1
AT,I_CT,28,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.7,0.8,0.8,0.5,0.5,0.7,0.4,0.5,0.6,0.5,0.7,0.8,17.1,18.9,12.4,12.5,17.4,22.4,17.6,20.6
AT,I_CT,29-30,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,16.5,4,7.4,12.6,14.5,12,14.5
AT,I_CT,31-33,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.3,0.4,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,6.5,12.5,10.2,9,13.7,12.1,9.7,12
AT,I_CT,D-E,,,,,,,,,,,,,,,,,,,,,,,,,,179,231.1,218.3,225.8,159.2,119.9,124.3,95.3,96.8,121.9,149.6,184.9,173.1,195.7,201.4,447.4,565.4,615.5,282.4,195.5,248.6
AT,I_CT,F,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.9,6.1,5.7,5.3,5.4,5.8,4.9,5.2,4.8,4.3,5.4,5.7,8.9,15,11.9,23.8,20.7,51.3,45.1,57.2
